Date,Time,Event,Side,Mode,Entry,SL,TP1,TP2,Qty,Score,CtrlScore,DivStr,Delta,BarSpeed,ExitPx,ExitReason,HoldBars,MAE,MFE,DayPnL,TotalPnL,FadeEdge,FadeType,RiskMult,TrendReg,VolReg,ChopReg,Version
2025-03-18,14:52:57,EXIT,LONG,M1,19777.25,19737.25,19822.5,19885.5,1,7,3,-2,359.0,3000.0,19737.25,STOP,4,67.0,4.25,-805.0,-805.0,0,0,0.9,0,1,0,v12.19-py
2025-03-18,14:52:57,EXIT,LONG,M1,19777.25,19737.25,19822.5,19885.5,1,7,3,-2,359.0,3000.0,19737.25,STOP,4,67.0,4.25,-805.0,-805.0,0,0,0.9,0,1,0,v12.19-py
2025-03-27,11:44:08,EXIT,SHORT,M1,20066.0,20096.75,20034.0,19989.0,1,5,0,0,-54.0,3000.0,20096.75,STOP,9,34.75,27.0,-620.0,-1425.0,0,0,0.9,0,1,0,v12.19-py
2025-03-27,11:44:08,EXIT,SHORT,M1,20066.0,20096.75,20034.0,19989.0,1,5,0,0,-54.0,3000.0,20096.75,STOP,9,34.75,27.0,-620.0,-1425.0,0,0,0.9,0,1,0,v12.19-py
2025-03-27,14:16:50,EXIT,LONG,M1,20081.0,20049.25,20114.0,20160.25,1,7,3,0,180.0,3000.0,20049.25,STOP,4,37.5,2.0,-1260.0,-2065.0,0,0,0.6,0,1,0,v12.19-py
2025-03-27,14:16:50,EXIT,LONG,M1,20081.0,20049.25,20114.0,20160.25,1,7,3,0,180.0,3000.0,20049.25,STOP,4,37.5,2.0,-1260.0,-2065.0,0,0,0.6,0,1,0,v12.19-py
2025-03-31,10:42:13,EXIT,SHORT,M1,19122.25,19159.0,19084.0,19030.5,1,6,-1,0,-104.0,3000.0,19159.0,STOP,5,40.0,29.75,-740.0,-2805.0,0,0,0.9,0,1,0,v12.19-py
2025-03-31,10:42:13,EXIT,SHORT,M1,19122.25,19159.0,19084.0,19030.5,1,6,-1,0,-104.0,3000.0,19159.0,STOP,5,40.0,29.75,-740.0,-2805.0,0,0,0.9,0,1,0,v12.19-py
2025-04-01,10:39:01,EXIT,LONG,M1,19410.5,19373.5,19449.0,19502.75,1,7,3,-2,184.0,3000.0,19537.0,TRAIL,22,12.5,151.5,2525.0,-280.0,0,0,0.9,0,1,0,v12.19-py
2025-04-01,10:39:01,EXIT,LONG,M1,19410.5,19373.5,19449.0,19502.75,1,7,3,-2,184.0,3000.0,19537.0,TRAIL,22,12.5,151.5,2525.0,-280.0,0,0,0.9,0,1,0,v12.19-py
2025-04-07,11:29:40,EXIT,SHORT,M1,17186.0,17226.0,17136.0,17061.0,1,7,-3,0,-40.0,3000.0,17226.0,STOP,4,223.75,2.0,-805.0,-1085.0,0,0,0.9,0,1,1,v12.19-py
2025-04-07,11:29:40,EXIT,SHORT,M1,17186.0,17226.0,17136.0,17061.0,1,7,-3,0,-40.0,3000.0,17226.0,STOP,4,223.75,2.0,-805.0,-1085.0,0,0,0.9,0,1,1,v12.19-py
2025-04-08,11:14:08,EXIT,SHORT,M1,18045.75,18085.75,17995.75,17923.0,1,6,-2,0,-216.0,3000.0,18085.75,STOP,5,53.0,47.75,-805.0,-1890.0,0,0,0.9,0,1,0,v12.19-py
2025-04-08,11:14:08,EXIT,SHORT,M1,18045.75,18085.75,17995.75,17923.0,1,6,-2,0,-216.0,3000.0,18085.75,STOP,5,53.0,47.75,-805.0,-1890.0,0,0,0.9,0,1,0,v12.19-py
2025-04-10,15:16:07,EXIT,SHORT,M1,18466.25,18506.25,18416.25,18341.25,1,6,-2,0,-64.0,3000.0,18506.25,STOP,4,139.25,28.25,-805.0,-2695.0,0,0,0.9,0,1,0,v12.19-py
2025-04-10,15:16:07,EXIT,SHORT,M1,18466.25,18506.25,18416.25,18341.25,1,6,-2,0,-64.0,3000.0,18506.25,STOP,4,139.25,28.25,-805.0,-2695.0,0,0,0.9,0,1,0,v12.19-py
2025-04-11,11:46:22,EXIT,LONG,M1,18507.25,18467.25,18557.25,18632.25,1,5,1,0,104.0,3000.0,18740.5,TRAIL,21,16.75,282.75,4660.0,1965.0,0,0,0.9,0,1,0,v12.19-py
2025-04-11,11:46:22,EXIT,LONG,M1,18507.25,18467.25,18557.25,18632.25,1,5,1,0,104.0,3000.0,18740.5,TRAIL,21,16.75,282.75,4660.0,1965.0,0,0,0.9,0,1,0,v12.19-py
2025-04-14,10:51:18,EXIT,LONG,M1,19181.25,19141.25,19231.25,19306.25,1,7,3,-2,172.0,3000.0,19141.25,STOP,4,78.0,11.75,-805.0,1160.0,0,0,0.9,0,1,0,v12.19-py
2025-04-14,10:51:18,EXIT,LONG,M1,19181.25,19141.25,19231.25,19306.25,1,7,3,-2,172.0,3000.0,19141.25,STOP,4,78.0,11.75,-805.0,1160.0,0,0,0.9,0,1,0,v12.19-py
