Date,Time,Event,Side,Mode,Entry,SL,TP1,TP2,Qty,Score,CtrlScore,DivStr,Delta,BarSpeed,ExitPx,ExitReason,HoldBars,MAE,MFE,DayPnL,TotalPnL,FadeEdge,FadeType,RiskMult,TrendReg,VolReg,ChopReg,Version
2025-09-16,13:07:39,EXIT,LONG,M5,24536.0,24516.0,24561.0,24611.0,1,5,1,0,393.0,2500.0,24545.75,FLATTEN,30,14.0,27.0,190.0,190.0,0,0,0.9,0,1,0,v12.19-py
2025-09-16,13:07:39,EXIT,LONG,M5,24536.0,24516.0,24561.0,24611.0,1,5,1,0,393.0,2500.0,24545.75,FLATTEN,30,14.0,27.0,190.0,190.0,0,0,0.9,0,1,0,v12.19-py
2025-09-18,13:08:41,EXIT,LONG,M5,24793.0,24773.0,24818.0,24868.0,1,5,0,0,100.0,2500.0,24773.0,STOP,4,28.75,1.0,-405.0,-215.0,0,0,0.9,1,1,0,v12.19-py
2025-09-18,13:08:41,EXIT,LONG,M5,24793.0,24773.0,24818.0,24868.0,1,5,0,0,100.0,2500.0,24773.0,STOP,4,28.75,1.0,-405.0,-215.0,0,0,0.9,1,1,0,v12.19-py
2025-09-19,11:45:29,EXIT,LONG,M5,24750.0,24730.0,24775.0,24825.0,1,5,1,0,124.0,2500.0,24811.25,TRAIL,22,6.0,76.0,1220.0,1005.0,0,0,0.9,0,1,0,v12.19-py
2025-09-19,11:45:29,EXIT,LONG,M5,24750.0,24730.0,24775.0,24825.0,1,5,1,0,124.0,2500.0,24811.25,TRAIL,22,6.0,76.0,1220.0,1005.0,0,0,0.9,0,1,0,v12.19-py
2025-09-22,12:11:57,EXIT,LONG,M5,24950.25,24930.25,24975.25,25025.25,1,5,1,0,310.0,2500.0,25005.25,TRAIL,40,8.5,64.25,1095.0,2100.0,0,0,0.9,1,1,0,v12.19-py
2025-09-22,12:11:57,EXIT,LONG,M5,24950.25,24930.25,24975.25,25025.25,1,5,1,0,310.0,2500.0,25005.25,TRAIL,40,8.5,64.25,1095.0,2100.0,0,0,0.9,1,1,0,v12.19-py
2025-09-23,13:03:07,EXIT,SHORT,M5,24917.0,24937.0,24892.0,24842.0,1,5,-3,2,-200.0,2500.0,24802.5,TRAIL,24,9.75,125.75,2285.0,4385.0,0,0,0.9,-1,1,0,v12.19-py
2025-09-23,13:03:07,EXIT,SHORT,M5,24917.0,24937.0,24892.0,24842.0,1,5,-3,2,-200.0,2500.0,24802.5,TRAIL,24,9.75,125.75,2285.0,4385.0,0,0,0.9,-1,1,0,v12.19-py
2025-09-24,14:13:06,EXIT,SHORT,M5,24694.0,24714.0,24669.0,24619.0,1,5,-2,2,-46.0,2500.0,24714.0,STOP,7,29.25,1.0,-405.0,3980.0,0,0,0.9,-1,1,0,v12.19-py
