Date,Time,Event,Side,Mode,Entry,SL,TP1,TP2,Qty,Score,CtrlScore,DivStr,Delta,BarSpeed,ExitPx,ExitReason,HoldBars,MAE,MFE,DayPnL,TotalPnL,FadeEdge,FadeType,RiskMult,TrendReg,VolReg,ChopReg,Version
2025-12-17,10:35:11,SETUP,SHORT,M6,25253.0,25281.23,25235.5,25198.75,1,5,-1,0,-382.0,3000.0,0,,0,0,0,0.0,0.0,0,0,0.9,0,1,0,v12.25-py
2025-12-17,10:35:11,EXIT,SHORT,M6,25253.0,25281.23,25235.5,25198.75,1,5,-1,0,-382.0,3000.0,25093.25,TRAIL,16,8.75,184.5,3190.0,3190.0,0,0,0.9,0,1,0,v12.25-py
2025-12-18,10:22:02,SETUP,LONG,M1,25232.75,25194.75,25272.5,25328.0,1,7,3,0,284.0,3000.0,0,,0,0,0,0.0,3190.0,0,0,0.9,0,1,0,v12.25-py
2025-12-18,10:22:02,EXIT,LONG,M1,25232.75,25194.75,25272.5,25328.0,1,7,3,0,284.0,3000.0,25355.5,TRAIL,23,10.25,174.5,2450.0,5640.0,0,0,0.9,0,1,0,v12.25-py
2025-12-30,14:15:06,SETUP,LONG,M1,25736.25,25715.25,25761.25,25811.25,1,5,2,2,320.0,3000.0,0,,0,0,0,0.0,5640.0,0,0,0.9,0,1,1,v12.25-py
2025-12-30,14:15:06,EXIT,LONG,M1,25736.25,25715.25,25761.25,25811.25,1,5,2,2,320.0,3000.0,25715.25,STOP,4,21.5,6.75,-425.0,5215.0,0,0,0.9,0,1,1,v12.25-py
2025-12-31,14:22:52,SETUP,SHORT,M1,25593.5,25617.75,25568.25,25518.5,1,5,-1,0,-134.0,3000.0,0,,0,0,0,0.0,5215.0,0,0,0.9,0,1,0,v12.25-py
2025-12-31,14:22:52,EXIT,SHORT,M1,25593.5,25617.75,25568.25,25518.5,1,5,-1,0,-134.0,3000.0,25504.75,TRAIL,18,8.75,123.25,1770.0,6985.0,0,0,0.9,0,1,0,v12.25-py
2026-01-30,10:35:42,SETUP,LONG,M1,25876.0,25836.0,25926.0,26000.25,1,7,3,0,508.0,3000.0,0,,0,0,0,0.0,6985.0,0,0,0.9,0,1,0,v12.25-py
2026-01-30,10:35:42,EXIT,LONG,M1,25876.0,25836.0,25926.0,26000.25,1,7,3,0,508.0,3000.0,25887.0,TRAIL,9,43.25,58.0,215.0,7200.0,0,0,0.9,0,1,0,v12.25-py
