Date,Time,Event,Side,Mode,Entry,SL,TP1,TP2,Qty,Score,CtrlScore,DivStr,Delta,BarSpeed,ExitPx,ExitReason,HoldBars,MAE,MFE,DayPnL,TotalPnL,FadeEdge,FadeType,RiskMult,TrendReg,VolReg,ChopReg,Version
2025-12-17,10:35:11,SETUP,SHORT,M6,25253.0,25281.23,25235.5,25198.75,1,5,-1,0,-382.0,3000.0,0,,0,0,0,0.0,0.0,0,0,0.9,0,1,0,v12.25-py
2025-12-17,10:35:11,EXIT,SHORT,M6,25253.0,25281.23,25235.5,25198.75,1,5,-1,0,-382.0,3000.0,25093.25,TRAIL,16,8.75,184.5,3190.0,3190.0,0,0,0.9,0,1,0,v12.25-py
2025-12-18,10:22:02,SETUP,LONG,M1,25232.75,25194.75,25272.5,25328.0,1,7,3,0,284.0,3000.0,0,,0,0,0,0.0,3190.0,0,0,0.9,0,1,0,v12.25-py
2025-12-18,10:22:02,EXIT,LONG,M1,25232.75,25194.75,25272.5,25328.0,1,7,3,0,284.0,3000.0,25355.5,TRAIL,23,10.25,174.5,2450.0,5640.0,0,0,0.9,0,1,0,v12.25-py
2025-12-29,10:49:28,SETUP,SHORT,M1,25724.0,25754.75,25692.0,25647.0,1,5,-1,0,-601.0,3005.0,0,,0,0,0,0.0,5640.0,0,0,0.9,0,1,0,v12.25-py
2025-12-29,10:49:28,EXIT,SHORT,M1,25724.0,25754.75,25692.0,25647.0,1,5,-1,0,-601.0,3005.0,25716.25,TRAIL,4,0.75,49.75,150.0,5790.0,0,0,0.9,0,1,0,v12.25-py
2025-12-30,10:51:54,SETUP,LONG,M1,25728.25,25701.5,25756.0,25803.25,1,7,3,0,223.0,3003.0,0,,0,0,0,0.0,5790.0,0,0,0.9,0,1,0,v12.25-py
2025-12-30,10:51:54,EXIT,LONG,M1,25728.25,25701.5,25756.0,25803.25,1,7,3,0,223.0,3003.0,25734.5,TRAIL,13,4.25,65.5,120.0,5910.0,0,0,0.9,0,1,0,v12.25-py
2025-12-31,14:22:52,SETUP,SHORT,M1,25593.5,25617.75,25568.25,25518.5,1,5,-1,0,-134.0,3000.0,0,,0,0,0,0.0,5910.0,0,0,0.9,0,1,0,v12.25-py
2025-12-31,14:22:52,EXIT,SHORT,M1,25593.5,25617.75,25568.25,25518.5,1,5,-1,0,-134.0,3000.0,25504.75,TRAIL,18,8.75,123.25,1770.0,7680.0,0,0,0.9,0,1,0,v12.25-py
