Date,Time,Event,Side,Mode,Entry,SL,TP1,TP2,Qty,Score,CtrlScore,DivStr,Delta,BarSpeed,ExitPx,ExitReason,HoldBars,MAE,MFE,DayPnL,TotalPnL,FadeEdge,FadeType,RiskMult,TrendReg,VolReg,ChopReg,Version
2025-05-28,14:48:56,SETUP,SHORT,M1,22367.25,22390.5,22342.25,22292.25,1,6,-3,2,-546.0,3000.0,0,,0,0,0,0.0,0.0,0,0,0.9,0,1,0,v12.25-py
2025-05-28,14:48:56,EXIT,SHORT,M1,22367.25,22390.5,22342.25,22292.25,1,6,-3,2,-546.0,3000.0,22361.0,TRAIL,4,33.5,40.5,120.0,120.0,0,0,0.9,0,1,0,v12.25-py
2025-06-04,10:41:30,SETUP,SHORT,M1,22642.75,22675.25,22609.0,22561.5,1,7,-3,0,-14.0,3000.0,0,,0,0,0,0.0,120.0,0,0,0.9,0,1,1,v12.25-py
2025-06-04,10:41:30,EXIT,SHORT,M1,22642.75,22675.25,22609.0,22561.5,1,7,-3,0,-14.0,3000.0,22675.25,STOP,4,47.75,11.75,-655.0,-535.0,0,0,0.9,0,1,1,v12.25-py
2025-06-18,09:58:33,SETUP,SHORT,M1,22697.75,22730.75,22663.25,22615.0,1,6,-3,0,-74.0,3000.0,0,,0,0,0,0.0,-535.0,0,0,0.9,0,1,0,v12.25-py
2025-06-18,09:58:33,EXIT,SHORT,M1,22697.75,22730.75,22663.25,22615.0,1,6,-3,0,-74.0,3000.0,22730.75,STOP,4,51.25,8.25,-665.0,-1200.0,0,0,0.9,0,1,0,v12.25-py
2025-06-24,09:56:55,SETUP,SHORT,M1,22993.0,23025.75,22959.0,22911.25,1,7,-3,0,-414.0,3000.0,0,,0,0,0,0.0,-1200.0,0,0,0.9,0,1,1,v12.25-py
2025-06-24,09:56:55,EXIT,SHORT,M1,22993.0,23025.75,22959.0,22911.25,1,7,-3,0,-414.0,3000.0,23025.75,STOP,7,42.0,18.0,-660.0,-1860.0,0,0,0.9,0,1,1,v12.25-py
2025-07-01,14:35:16,SETUP,SHORT,M1,23441.5,23465.75,23416.25,23366.5,1,7,-3,0,-6.0,3000.0,0,,0,0,0,0.0,-1860.0,0,0,0.9,0,1,0,v12.25-py
2025-07-01,14:35:16,EXIT,SHORT,M1,23441.5,23465.75,23416.25,23366.5,1,7,-3,0,-6.0,3000.0,23435.75,TRAIL,14,4.5,85.25,110.0,-1750.0,0,0,0.9,0,1,0,v12.25-py
2025-07-09,14:07:04,SETUP,LONG,M6,23724.25,23708.26,23735.38,23757.5,1,5,1,0,424.0,3000.0,0,,0,0,0,0.0,-1750.0,0,0,0.9,0,1,0,v12.25-py
2025-07-09,14:07:04,EXIT,LONG,M6,23724.25,23708.26,23735.38,23757.5,1,5,1,0,424.0,3000.0,23730.25,TRAIL,4,14.5,11.25,115.0,-1635.0,0,0,0.9,0,1,0,v12.25-py
2025-07-14,09:47:30,SETUP,LONG,M1,23613.25,23580.75,23647.0,23694.25,1,5,1,0,340.0,3000.0,0,,0,0,0,0.0,-1635.0,0,0,0.9,0,1,0,v12.25-py
2025-07-14,09:47:30,EXIT,LONG,M1,23613.25,23580.75,23647.0,23694.25,1,5,1,0,340.0,3000.0,23620.5,TRAIL,10,6.75,42.25,140.0,-1495.0,0,0,0.9,0,1,0,v12.25-py
2025-07-15,10:23:35,SETUP,SHORT,M1,23871.5,23897.5,23844.5,23796.5,1,7,-3,0,-278.0,3000.0,0,,0,0,0,0.0,-1495.0,0,0,0.9,0,1,0,v12.25-py
2025-07-15,10:23:35,EXIT,SHORT,M1,23871.5,23897.5,23844.5,23796.5,1,7,-3,0,-278.0,3000.0,23865.0,TRAIL,9,24.75,31.0,125.0,-1370.0,0,0,0.9,0,1,0,v12.25-py
2025-07-16,11:16:04,SETUP,SHORT,M1,23701.25,23735.0,23666.25,23617.0,1,5,-2,0,-586.0,3000.0,0,,0,0,0,0.0,-1370.0,0,0,0.9,0,1,0,v12.25-py
2025-07-16,11:16:04,EXIT,SHORT,M1,23701.25,23735.0,23666.25,23617.0,1,5,-2,0,-586.0,3000.0,23692.25,TRAIL,4,4.0,46.5,175.0,-1195.0,0,0,0.9,0,1,0,v12.25-py
2025-07-24,09:52:04,SETUP,SHORT,M1,24064.5,24089.5,24038.5,23989.5,1,5,-2,0,-478.0,3000.0,0,,0,0,0,0.0,-1195.0,0,0,0.9,0,1,0,v12.25-py
2025-07-24,09:52:04,EXIT,SHORT,M1,24064.5,24089.5,24038.5,23989.5,1,5,-2,0,-478.0,3000.0,24058.25,TRAIL,19,17.0,57.25,120.0,-1075.0,0,0,0.9,0,1,0,v12.25-py
2025-07-28,10:16:10,SETUP,SHORT,M1,24214.75,24235.25,24189.75,24139.75,1,6,-3,0,-452.0,3000.0,0,,0,0,0,0.0,-1075.0,0,0,0.6,0,1,1,v12.25-py
2025-07-28,10:16:10,EXIT,SHORT,M1,24214.75,24235.25,24189.75,24139.75,1,6,-3,0,-452.0,3000.0,24209.5,TRAIL,4,9.75,32.25,100.0,-975.0,0,0,0.6,0,1,1,v12.25-py
2025-07-30,10:15:40,SETUP,LONG,M1,24203.5,24180.25,24228.5,24278.5,1,5,1,0,54.0,3000.0,0,,0,0,0,0.0,-975.0,0,0,0.6,0,1,0,v12.25-py
2025-07-30,10:15:40,EXIT,LONG,M1,24203.5,24180.25,24228.5,24278.5,1,5,1,0,54.0,3000.0,24209.25,TRAIL,16,16.0,46.75,110.0,-865.0,0,0,0.6,0,1,0,v12.25-py
2025-07-30,11:41:18,SETUP,LONG,M1,24208.0,24188.0,24233.0,24283.0,1,5,1,0,210.0,3000.0,0,,0,0,0,110.0,-865.0,0,0,0.6,0,1,0,v12.25-py
2025-07-30,11:41:18,EXIT,LONG,M1,24208.0,24188.0,24233.0,24283.0,1,5,1,0,210.0,3000.0,24248.0,TRAIL,18,3.0,51.5,905.0,-70.0,0,0,0.6,0,1,0,v12.25-py
2025-08-05,09:58:14,SETUP,SHORT,M1,24033.75,24065.25,24001.0,23955.25,1,7,-3,0,-448.0,3000.0,0,,0,0,0,0.0,-70.0,0,0,0.6,0,1,0,v12.25-py
2025-08-05,09:58:14,EXIT,SHORT,M1,24033.75,24065.25,24001.0,23955.25,1,7,-3,0,-448.0,3000.0,23877.75,TRAIL,28,36.25,175.25,3115.0,3045.0,0,0,0.6,0,1,0,v12.25-py
2025-08-19,10:10:36,SETUP,SHORT,M1,24420.5,24446.25,24393.75,24345.5,1,6,-3,-2,-166.0,3000.0,0,,0,0,0,0.0,3045.0,0,0,1.25,0,1,0,v12.25-py
2025-08-19,10:10:36,EXIT,SHORT,M1,24420.5,24446.25,24393.75,24345.5,1,6,-3,-2,-166.0,3000.0,24414.0,TRAIL,4,5.0,29.0,125.0,3170.0,0,0,1.25,0,1,0,v12.25-py
2025-08-20,10:53:29,SETUP,LONG,M4,23759.0,23729.75,23789.5,23834.0,1,5,1,4,332.0,3000.0,0,,0,0,0,0.0,3170.0,0,0,1.25,0,1,0,v12.25-py
2025-08-20,10:53:29,EXIT,LONG,M4,23759.0,23729.75,23789.5,23834.0,1,5,1,4,332.0,3000.0,23936.75,TRAIL,22,14.5,195.25,3550.0,6720.0,0,0,1.25,0,1,0,v12.25-py
2025-08-22,13:54:07,SETUP,SHORT,M4,24317.25,24340.25,24292.25,24242.25,1,5,-3,0,-184.0,3000.0,0,,0,0,0,0.0,6720.0,0,0,1.25,0,1,0,v12.25-py
2025-08-22,13:54:07,EXIT,SHORT,M4,24317.25,24340.25,24292.25,24242.25,1,5,-3,0,-184.0,3000.0,24268.5,FLATTEN,25,8.5,77.0,970.0,7690.0,0,0,1.25,0,1,0,v12.25-py
2025-08-25,09:49:54,SETUP,SHORT,M1,24189.0,24218.5,24158.25,24114.0,1,6,-3,0,-84.0,3000.0,0,,0,0,0,0.0,7690.0,0,0,1.25,0,1,0,v12.25-py
2025-08-25,09:49:54,EXIT,SHORT,M1,24189.0,24218.5,24158.25,24114.0,1,6,-3,0,-84.0,3000.0,24218.5,STOP,4,59.0,11.25,-595.0,7095.0,0,0,1.25,0,1,0,v12.25-py
2025-08-26,09:52:16,SETUP,LONG,M1,24202.5,24172.0,24234.25,24278.5,1,5,1,0,228.0,3000.0,0,,0,0,0,0.0,7095.0,0,0,1.25,0,1,0,v12.25-py
2025-08-26,09:52:16,EXIT,LONG,M1,24202.5,24172.0,24234.25,24278.5,1,5,1,0,228.0,3000.0,24209.5,TRAIL,8,10.0,33.75,135.0,7230.0,0,0,1.25,0,1,0,v12.25-py
2025-09-04,09:47:44,SETUP,SHORT,M1,24172.0,24203.5,24139.0,24093.0,1,6,-3,0,-430.0,3000.0,0,,0,0,0,0.0,7230.0,0,0,1.25,0,1,0,v12.25-py
2025-09-04,09:47:44,EXIT,SHORT,M1,24172.0,24203.5,24139.0,24093.0,1,6,-3,0,-430.0,3000.0,24164.25,TRAIL,13,40.0,42.0,150.0,7380.0,0,0,1.25,0,1,0,v12.25-py
2025-09-10,11:55:34,SETUP,SHORT,M1,24659.5,24679.5,24634.5,24584.5,1,6,-3,-2,-662.0,3000.0,0,,0,0,0,0.0,7380.0,0,0,1.25,0,1,0,v12.25-py
2025-09-10,11:55:34,EXIT,SHORT,M1,24659.5,24679.5,24634.5,24584.5,1,6,-3,-2,-662.0,3000.0,24611.25,TRAIL,19,1.75,61.0,960.0,8340.0,0,0,1.25,0,1,0,v12.25-py
2025-09-11,14:43:49,SETUP,LONG,M6,24750.25,24741.17,24760.62,24776.5,1,5,1,0,468.0,3000.0,0,,0,0,0,0.0,8340.0,0,0,1.25,0,1,0,v12.25-py
2025-09-11,14:43:49,EXIT,LONG,M6,24750.25,24741.17,24760.62,24776.5,1,5,1,0,468.0,3000.0,24741.17,STOP,4,20.0,0.75,-186.66,8153.34,0,0,1.25,0,1,0,v12.25-py
2025-09-12,09:52:57,SETUP,LONG,M1,24754.25,24731.75,24779.25,24829.25,1,5,1,0,458.0,3000.0,0,,0,0,0,0.0,8153.34,0,0,1.25,0,1,0,v12.25-py
2025-09-12,09:52:57,EXIT,LONG,M1,24754.25,24731.75,24779.25,24829.25,1,5,1,0,458.0,3000.0,24795.0,TRAIL,38,22.0,70.25,810.0,8963.34,0,0,1.25,0,1,0,v12.25-py
2025-10-06,10:49:03,SETUP,SHORT,M1,25609.5,25638.0,25579.75,25534.5,1,5,-2,-2,-140.0,3000.0,0,,0,0,0,0.0,8963.34,0,0,1.25,0,1,0,v12.25-py
2025-10-06,10:49:03,EXIT,SHORT,M1,25609.5,25638.0,25579.75,25534.5,1,5,-2,-2,-140.0,3000.0,25638.0,STOP,5,30.5,10.75,-575.0,8388.34,0,0,1.25,0,1,0,v12.25-py
2025-10-20,10:25:49,SETUP,LONG,M6,25743.0,25718.22,25751.5,25778.75,1,5,1,0,356.0,3000.0,0,,0,0,0,0.0,8388.34,0,0,1.25,0,1,0,v12.25-py
2025-10-20,10:25:49,EXIT,LONG,M6,25743.0,25718.22,25751.5,25778.75,1,5,1,0,356.0,3000.0,25749.75,TRAIL,4,9.75,12.0,130.0,8518.34,0,0,1.25,0,1,0,v12.25-py
2025-10-27,09:51:22,SETUP,LONG,M1,26306.5,26277.0,26337.25,26381.5,1,5,1,0,250.0,3000.0,0,,0,0,0,0.0,8518.34,0,0,1.25,0,1,1,v12.25-py
2025-10-27,09:51:22,EXIT,LONG,M1,26306.5,26277.0,26337.25,26381.5,1,5,1,0,250.0,3000.0,26313.25,TRAIL,10,7.0,36.75,130.0,8648.34,0,0,1.25,0,1,1,v12.25-py
2025-10-27,13:38:52,SETUP,LONG,M6,26392.0,26382.23,26400.0,26414.5,1,5,1,0,604.0,3000.0,0,,0,0,0,130.0,8648.34,0,0,1.25,0,1,0,v12.25-py
2025-10-27,13:38:52,EXIT,LONG,M6,26392.0,26382.23,26400.0,26414.5,1,5,1,0,604.0,3000.0,26395.5,TRAIL,5,5.0,9.0,195.0,8713.34,0,0,1.25,0,1,0,v12.25-py
2025-11-12,15:30:18,SETUP,LONG,M6,26096.0,26066.42,26102.5,26132.5,1,5,1,0,304.0,3000.0,0,,0,0,0,0.0,8713.34,0,0,1.25,0,1,0,v12.25-py
2025-11-12,15:30:18,EXIT,LONG,M6,26096.0,26066.42,26102.5,26132.5,1,5,1,0,304.0,3000.0,26103.25,TRAIL,4,29.0,10.75,140.0,8853.34,0,0,1.25,0,1,0,v12.25-py
2025-11-17,13:45:08,SETUP,LONG,M6,25506.75,25475.49,25513.75,25544.5,1,5,1,0,290.0,3000.0,0,,0,0,0,0.0,8853.34,0,0,1.25,0,1,0,v12.25-py
2025-11-17,13:45:08,EXIT,LONG,M6,25506.75,25475.49,25513.75,25544.5,1,5,1,0,290.0,3000.0,25394.25,CB,4,112.75,11.5,-2255.0,6598.34,0,0,1.25,0,1,0,v12.25-py
2025-11-21,09:45:38,SETUP,SHORT,M6,24593.75,24634.36,24560.5,24500.5,1,5,-3,0,-334.0,3000.0,0,,0,0,0,0.0,6598.34,0,0,1.25,0,1,0,v12.25-py
2025-11-21,09:45:38,EXIT,SHORT,M6,24593.75,24634.36,24560.5,24500.5,1,5,-3,0,-334.0,3000.0,24634.36,STOP,4,97.75,24.75,-817.16,5781.18,0,0,1.25,0,1,0,v12.25-py
2025-11-25,10:37:31,SETUP,SHORT,M1,25250.5,25290.5,25200.5,25125.5,1,7,-3,0,-8.0,3000.0,0,,0,0,0,0.0,5781.18,0,0,1.1,0,1,0,v12.25-py
2025-11-25,10:37:31,EXIT,SHORT,M1,25250.5,25290.5,25200.5,25125.5,1,7,-3,0,-8.0,3000.0,25290.5,STOP,4,90.0,2.75,-805.0,4976.18,0,0,1.1,0,1,0,v12.25-py
2025-12-03,10:09:04,SETUP,SHORT,M1,25982.0,26022.0,25939.25,25879.5,1,6,-3,0,-236.0,3000.0,0,,0,0,0,0.0,4976.18,0,0,1.0,0,1,0,v12.25-py
2025-12-03,10:09:04,EXIT,SHORT,M1,25982.0,26022.0,25939.25,25879.5,1,6,-3,0,-236.0,3000.0,26022.0,STOP,5,49.0,16.25,-805.0,4171.18,0,0,1.0,0,1,0,v12.25-py
2025-12-04,14:07:13,SETUP,SHORT,M1,26069.75,26093.25,26044.75,25994.75,1,6,-2,-2,-70.0,3000.0,0,,0,0,0,0.0,4171.18,0,0,1.0,0,1,0,v12.25-py
2025-12-04,14:07:13,EXIT,SHORT,M1,26069.75,26093.25,26044.75,25994.75,1,6,-2,-2,-70.0,3000.0,26063.75,TRAIL,12,6.5,113.5,115.0,4286.18,0,0,1.0,0,1,0,v12.25-py
2025-12-05,15:47:06,SETUP,SHORT,M6,26155.5,26169.94,26142.25,26119.25,1,5,-3,0,-272.0,3000.0,0,,0,0,0,0.0,4286.18,0,0,1.0,0,1,0,v12.25-py
2025-12-05,15:47:06,EXIT,SHORT,M6,26155.5,26169.94,26142.25,26119.25,1,5,-3,0,-272.0,3000.0,26186.75,FLATTEN,4,34.0,10.25,-630.0,3656.18,0,0,1.0,0,1,0,v12.25-py
2025-12-09,09:52:04,SETUP,SHORT,M1,26079.25,26114.25,26042.75,25991.75,1,6,-3,0,-208.0,3000.0,0,,0,0,0,0.0,3656.18,0,0,1.0,0,1,0,v12.25-py
2025-12-09,09:52:04,EXIT,SHORT,M1,26079.25,26114.25,26042.75,25991.75,1,6,-3,0,-208.0,3000.0,26114.25,STOP,4,58.25,11.0,-705.0,2951.18,0,0,1.0,0,1,0,v12.25-py
2025-12-16,12:02:19,SETUP,SHORT,M4,25548.25,25588.25,25504.5,25443.5,1,5,-2,-5,-128.0,3000.0,0,,0,0,0,0.0,2951.18,0,0,0.75,0,1,0,v12.25-py
2025-12-16,12:02:19,EXIT,SHORT,M4,25548.25,25588.25,25504.5,25443.5,1,5,-2,-5,-128.0,3000.0,25537.75,TRAIL,4,18.25,56.25,205.0,3156.18,0,0,0.75,0,1,0,v12.25-py
2025-12-17,10:33:21,SETUP,SHORT,M6,25466.5,25495.42,25451.12,25415.75,1,5,-3,0,-394.0,3000.0,0,,0,0,0,0.0,3156.18,0,0,0.75,0,1,0,v12.25-py
2025-12-17,10:33:21,EXIT,SHORT,M6,25466.5,25495.42,25451.12,25415.75,1,5,-3,0,-394.0,3000.0,25310.0,TRAIL,16,6.75,185.0,3125.0,6281.18,0,0,0.75,0,1,0,v12.25-py
2025-12-18,10:19:45,SETUP,LONG,M1,25418.25,25382.5,25455.5,25508.0,1,5,1,0,102.0,3000.0,0,,0,0,0,0.0,6281.18,0,0,1.0,0,1,0,v12.25-py
2025-12-18,10:19:45,EXIT,LONG,M1,25418.25,25382.5,25455.5,25508.0,1,5,1,0,102.0,3000.0,25574.5,TRAIL,20,1.25,200.5,3120.0,9401.18,0,0,1.0,0,1,0,v12.25-py
2025-12-22,10:03:35,SETUP,SHORT,M1,25923.25,25953.5,25891.75,25847.5,1,6,-3,0,-282.0,3000.0,0,,0,0,0,0.0,9401.18,0,0,1.1,0,1,0,v12.25-py
2025-12-22,10:03:35,EXIT,SHORT,M1,25923.25,25953.5,25891.75,25847.5,1,6,-3,0,-282.0,3000.0,25915.75,TRAIL,5,13.0,37.25,145.0,9546.18,0,0,1.1,0,1,0,v12.25-py
2025-12-26,11:11:33,SETUP,SHORT,M1,26078.5,26105.0,26050.75,26003.5,1,7,-3,0,-118.0,3000.0,0,,0,0,0,0.0,9546.18,0,0,1.1,0,1,0,v12.25-py
2025-12-26,11:11:33,EXIT,SHORT,M1,26078.5,26105.0,26050.75,26003.5,1,7,-3,0,-118.0,3000.0,26105.0,STOP,20,31.25,19.25,-535.0,9011.18,0,0,1.1,0,1,0,v12.25-py
2025-12-29,10:46:00,SETUP,SHORT,M1,25936.75,25968.25,25904.0,25858.0,1,7,-3,0,-524.0,3000.0,0,,0,0,0,0.0,9011.18,0,0,1.1,0,1,0,v12.25-py
