Date,Time,HHMM,Mode,Side,Entry,SL,TP1,TP2,Score,CtrlScore,DivStr,Delta,BarSpeed,FadeEdge,FadeType,RiskMult,TrendReg,VolReg,ChopReg,ATR,VwapDist,HoldBars,Outcome,ExitPx,MAE,MFE,PnL,Win
2026-03-17,12:20:31,1220,M1,LONG,25014.5,24976.5,25054.0,25109.5,4,1,0,300.0,3000.0,0,0,0.94,0,1,0,31.63,28.44,15,T1,25054.0,26.0,43.25,790.0,1
2026-03-18,15:03:12,1503,M4,LONG,24758.5,24718.5,24802.25,24863.5,3,1,4,88.0,3000.0,0,0,0.769,0,1,0,35.04,-165.76,5,STOP,24718.5,42.5,43.0,-800.0,0
2026-03-19,11:21:05,1121,M1,SHORT,24474.0,24514.0,24424.0,24349.0,6,-3,0,-506.0,3000.0,0,0,0.831,0,1,0,44.4,-28.19,4,T1,24424.0,6.5,51.25,1000.0,1
2026-03-19,14:31:50,1431,M1,SHORT,24462.25,24502.25,24418.5,24357.25,6,-3,0,-50.0,3000.0,0,0,0.974,0,1,0,35.03,-23.56,4,T1,24418.5,7.5,44.25,875.0,1
2026-03-19,15:31:07,1531,M4,LONG,24596.75,24556.75,24646.5,24716.0,4,0,2,74.0,3000.0,0,0,0.916,0,1,0,39.75,95.6,2,STOP,24556.75,52.5,17.25,-800.0,0
2026-03-20,15:00:05,1500,M4,LONG,24102.5,24067.5,24138.75,24189.75,3,1,4,98.0,3000.0,0,0,0.666,0,1,0,29.08,-225.44,4,STOP,24067.5,39.0,15.75,-700.0,0
2026-03-20,15:15:01,1515,M4,LONG,24086.0,24050.75,24122.75,24174.25,3,1,4,58.0,3000.0,0,0,0.653,0,1,0,29.41,-235.56,3,STOP,24050.75,37.75,13.0,-705.0,0
2026-03-23,12:07:14,1207,M1,LONG,24430.25,24390.25,24479.5,24548.5,4,1,0,108.0,3000.0,0,0,0.734,0,1,0,39.41,7.86,5,STOP,24390.25,58.0,35.25,-800.0,0
2026-03-24,11:27:09,1127,M4,SHORT,24359.5,24399.5,24309.5,24234.5,3,-3,-2,-364.0,3000.0,0,0,0.851,0,1,0,47.44,75.26,2,T1,24309.5,4.25,58.5,1000.0,1
2026-03-25,12:50:48,1250,M1,SHORT,24408.0,24446.25,24368.0,24312.25,6,-3,0,-458.0,3000.0,0,0,0.773,0,1,0,31.94,-18.95,9,STOP,24446.25,38.25,30.25,-765.0,0
2026-03-25,13:04:40,1304,M1,SHORT,24407.5,24447.0,24366.5,24309.0,6,-3,0,-302.0,3000.0,0,0,0.763,0,1,0,32.84,-19.3,7,STOP,24447.0,53.5,29.75,-790.0,0
2026-03-25,13:55:30,1355,M1,SHORT,24406.0,24446.0,24362.75,24302.25,4,-1,2,-146.0,3000.0,0,0,0.724,0,1,0,34.62,-21.14,1,STOP,24446.0,50.25,3.5,-800.0,0
2026-03-25,14:01:53,1401,M1,SHORT,24418.75,24458.75,24373.0,24309.0,4,-1,0,-435.0,3001.0,0,0,0.718,0,1,0,36.62,-8.52,9,T1,24373.0,34.75,96.5,915.0,1
2026-03-25,14:16:04,1416,M1,LONG,24430.5,24390.5,24475.25,24538.0,3,0,2,36.0,3000.0,0,0,0.711,0,1,0,35.81,3.3,4,STOP,24390.5,40.5,23.0,-800.0,0
2026-03-25,14:21:44,1421,M1,LONG,24442.0,24402.0,24485.75,24547.25,4,0,0,158.0,3000.0,0,0,0.708,0,1,1,35.05,14.69,3,STOP,24402.0,52.0,6.0,-800.0,0
2026-03-27,11:24:16,1124,M4,SHORT,23536.75,23576.75,23490.5,23426.0,3,-1,-2,-53.0,3000.0,0,0,0.851,0,1,0,36.94,-82.45,3,STOP,23576.75,44.75,27.25,-800.0,0
2026-03-27,11:39:55,1139,M4,SHORT,23561.25,23601.25,23516.5,23453.5,3,-1,-2,-8.0,3000.0,0,0,0.828,0,1,0,35.9,-54.49,8,T1,23516.5,16.25,70.25,895.0,1
2026-03-30,15:00:24,1500,M4,LONG,23118.75,23082.25,23157.0,23210.25,3,0,2,116.0,3000.0,0,0,0.701,0,1,0,30.52,-222.6,3,STOP,23082.25,45.75,11.5,-730.0,0
2026-03-31,11:02:01,1102,M1,LONG,23444.5,23404.5,23488.0,23549.0,4,1,0,428.0,3000.0,0,0,0.857,0,1,0,34.85,23.76,2,T1,23488.0,10.75,50.75,870.0,1
2026-03-31,11:20:38,1120,M4,SHORT,23513.5,23553.5,23467.25,23402.75,4,-3,-2,-314.0,3000.0,0,0,0.831,0,1,0,36.91,85.83,5,T1,23467.25,28.75,55.5,925.0,1
2026-03-31,12:01:02,1201,M4,LONG,23460.5,23420.5,23504.75,23566.75,3,1,2,120.0,3000.0,0,0,0.792,0,1,0,35.41,25.97,1,T1,23504.75,0.25,47.5,885.0,1
2026-03-31,15:43:00,1543,M4,SHORT,23898.25,23936.5,23858.5,23802.75,3,-2,-2,-151.0,3000.0,0,0,0.506,0,1,0,31.8,308.97,2,STOP,23936.5,40.0,7.0,-765.0,0
2026-04-01,11:12:11,1112,M4,SHORT,24266.75,24306.75,24222.75,24161.25,3,-3,-2,-275.0,3000.0,0,0,0.838,0,1,0,35.18,129.97,12,STOP,24306.75,58.25,37.0,-800.0,0
2026-04-01,14:20:22,1420,M4,LONG,24195.75,24167.75,24224.75,24270.75,3,1,4,154.0,3000.0,0,0,0.741,0,1,0,23.24,12.39,1,STOP,24167.75,28.0,1.5,-560.0,0
2026-04-02,13:56:08,1356,M4,LONG,24089.75,24049.75,24139.75,24211.5,4,0,4,58.0,3000.0,0,0,0.685,0,1,0,40.6,105.57,2,T1,24139.75,14.0,55.25,1000.0,1
2026-04-07,15:18:37,1518,M1,LONG,24183.5,24144.0,24224.75,24282.5,5,1,0,180.0,3000.0,0,0,0.659,0,1,0,32.98,21.78,1,T1,24224.75,9.25,50.25,825.0,1
2026-04-08,14:07:15,1407,M1,LONG,25120.75,25093.75,25149.0,25195.75,4,1,0,228.0,3002.0,0,0,0.744,0,1,0,22.56,10.49,2,STOP,25093.75,27.0,11.0,-540.0,0
2026-04-15,12:16:14,1216,M4,SHORT,26219.0,26243.75,26193.25,26144.0,3,-3,-2,-190.0,3000.0,0,0,0.854,0,1,0,20.7,139.59,1,STOP,26243.75,25.5,1.75,-495.0,0
2026-04-17,12:01:22,1201,M4,LONG,26808.25,26776.5,26841.25,26887.75,3,0,4,20.0,3000.0,0,0,0.782,0,1,0,26.5,81.87,2,T1,26841.25,1.25,48.5,660.0,1
2026-04-17,14:23:48,1423,M4,LONG,26779.25,26749.0,26811.0,26855.25,3,1,2,232.0,3000.0,0,0,0.636,0,1,0,25.3,26.7,2,T1,26811.0,2.75,32.25,635.0,1
2026-04-21,11:22:36,1122,M4,SHORT,26774.25,26807.25,26740.0,26692.0,3,-2,-2,-348.0,3000.0,0,0,0.88,0,1,0,27.44,-26.05,2,T1,26740.0,6.5,46.75,685.0,1
2026-04-21,12:45:06,1245,M4,LONG,26687.5,26655.25,26721.25,26768.25,3,0,4,166.0,3000.0,0,0,0.789,0,1,0,26.94,-94.54,6,STOP,26655.25,41.25,28.0,-645.0,0
2026-04-21,13:00:34,1300,M4,LONG,26682.25,26651.25,26714.5,26759.75,3,1,4,-40.0,3000.0,0,0,0.776,0,1,0,25.79,-96.57,2,STOP,26651.25,36.0,24.5,-620.0,0
2026-04-21,15:14:42,1514,M1,SHORT,26724.75,26764.75,26682.75,26624.0,7,-3,-2,-501.0,3000.0,0,0,0.623,0,1,0,33.6,-27.82,3,STOP,26764.75,47.75,5.75,-800.0,0
