Date,Time,HHMM,Mode,Side,Entry,SL,TP1,TP2,Score,CtrlScore,DivStr,Delta,BarSpeed,FadeEdge,FadeType,RiskMult,TrendReg,VolReg,ChopReg,ATR,VwapDist,HoldBars,Outcome,ExitPx,MAE,MFE,PnL,Win
2025-12-15,13:36:03,1336,M4,LONG,25348.75,25308.75,25398.75,25473.75,3,3,4,112.0,3000.0,0,0,0.951,0,1,0,43.49,-109.36,3,T1,25398.75,5.5,74.75,1000.0,1
2025-12-16,11:13:04,1113,M1,SHORT,25255.0,25295.0,25205.0,25130.0,4,-1,0,-310.0,3000.0,0,0,0.873,0,1,0,41.78,-21.13,13,STOP,25295.0,60.5,42.25,-800.0,0
2025-12-16,12:17:57,1217,M4,SHORT,25332.5,25372.5,25287.25,25224.25,3,-1,-4,-144.0,3000.0,0,0,0.802,0,1,0,36.1,55.92,2,T1,25287.25,5.75,63.25,905.0,1
2025-12-16,13:53:28,1353,M4,SHORT,25332.75,25372.0,25292.0,25234.75,3,-1,-4,-170.0,3000.0,0,0,0.711,0,1,0,32.63,61.17,3,T1,25292.0,1.25,78.75,815.0,1
2025-12-16,14:04:12,1404,M1,SHORT,25270.75,25310.75,25228.0,25168.5,6,-1,0,-176.0,3000.0,0,0,0.701,0,1,0,34.11,-1.55,3,T1,25228.0,3.25,43.25,855.0,1
2025-12-16,14:07:18,1407,M1,SHORT,25262.75,25302.75,25221.25,25163.0,6,-1,0,-26.0,3000.0,0,0,0.698,0,1,0,33.26,-9.48,8,STOP,25302.75,57.0,38.0,-800.0,0
2025-12-17,10:29:13,1029,M4,LONG,25325.5,25285.5,25370.0,25432.25,4,3,0,282.0,3000.0,0,0,0.919,0,1,0,35.58,-36.42,2,STOP,25285.5,53.25,13.25,-800.0,0
2025-12-17,10:35:11,1035,M6,SHORT,25253.5,25281.23,25235.5,25198.75,5,-1,0,-382.0,3000.0,0,0,0.909,0,1,0,35.92,-105.39,1,T1,25235.5,8.25,27.0,360.0,1
2025-12-17,11:11:38,1111,M4,SHORT,25076.0,25116.0,25033.0,24973.0,3,-1,-2,-310.0,3000.0,0,0,0.974,0,1,0,34.31,-210.76,3,T1,25033.0,10.0,62.75,860.0,1
2025-12-17,12:27:14,1227,M4,SHORT,25048.0,25088.0,25003.75,24941.5,3,-1,-4,-422.0,3000.0,0,0,0.971,0,1,0,35.47,-170.31,6,T1,25003.75,37.0,53.5,885.0,1
2025-12-17,12:36:03,1236,M4,SHORT,25055.5,25095.5,25011.75,24950.25,3,-1,-4,-120.0,3000.0,0,0,0.961,0,1,0,35.06,-159.43,3,T1,25011.75,15.25,61.0,875.0,1
2025-12-18,10:22:02,1022,M1,LONG,25232.25,25194.25,25272.0,25327.5,7,3,0,284.0,3000.0,0,0,0.906,0,1,0,31.73,36.01,2,T1,25272.0,9.75,51.5,795.0,1
2025-12-18,13:15:00,1315,M4,SHORT,25347.5,25381.0,25312.5,25263.5,3,-1,-4,-181.0,3000.0,0,0,0.958,0,1,0,28.0,84.07,4,STOP,25381.0,44.5,0.0,-670.0,0
