Date,Time,HHMM,Mode,Side,Entry,SL,TP1,TP2,Score,CtrlScore,DivStr,Delta,BarSpeed,FadeEdge,FadeType,RiskMult,TrendReg,VolReg,ChopReg,ATR,VwapDist,HoldBars,Outcome,ExitPx,MAE,MFE,PnL,Win
2025-12-15,13:36:01,1336,M4,LONG,25348.0,25308.0,25398.0,25473.0,3,2,4,122.0,3000.0,0,0,0.97,0,1,0,44.25,-110.07,3,T1,25398.0,5.0,73.25,1000.0,1
2025-12-16,11:13:08,1113,M1,SHORT,25252.5,25292.5,25202.5,25127.5,6,-2,0,-304.0,3000.0,0,0,0.922,0,1,0,42.4,-23.14,13,STOP,25292.5,63.25,39.75,-800.0,0
2025-12-16,13:53:47,1353,M4,SHORT,25328.75,25368.0,25288.0,25231.0,3,-2,-4,-170.0,3000.0,0,0,0.751,0,1,0,32.61,57.44,3,T1,25288.0,5.0,74.5,815.0,1
2025-12-16,14:04:22,1404,M1,SHORT,25261.25,25301.25,25218.5,25159.0,7,-2,0,-218.0,3000.0,0,0,0.741,0,1,0,34.12,-10.75,8,STOP,25301.25,40.75,36.75,-800.0,0
2025-12-17,10:29:22,1029,M4,LONG,25325.0,25285.0,25368.25,25429.0,4,2,0,297.0,3001.0,0,0,0.919,0,1,0,34.64,-37.07,2,STOP,25285.0,52.25,13.75,-800.0,0
2025-12-17,10:35:19,1035,M6,SHORT,25255.0,25281.42,25236.12,25199.5,5,-2,0,-394.0,3000.0,0,0,0.909,0,1,0,34.7,-103.97,1,T1,25236.12,7.25,29.75,377.5,1
2025-12-17,11:11:41,1111,M4,SHORT,25082.25,25122.25,25040.25,24981.75,3,-3,-2,-176.0,3000.0,0,0,0.974,0,1,0,33.54,-204.42,2,T1,25040.25,1.75,45.25,840.0,1
2025-12-17,12:36:10,1236,M4,SHORT,25054.0,25094.0,25008.75,24945.25,3,-3,-4,-166.0,3000.0,0,0,0.961,0,1,0,36.25,-160.98,3,T1,25008.75,16.75,59.5,905.0,1
2025-12-18,10:22:05,1022,M1,LONG,25230.0,25190.5,25271.25,25329.0,6,2,0,316.0,3000.0,0,0,0.906,0,1,0,32.98,33.46,2,T1,25271.25,7.25,53.75,825.0,1
2025-12-18,12:18:42,1218,M4,LONG,25211.0,25178.5,25245.0,25292.25,3,2,2,280.0,3000.0,0,0,0.974,0,1,0,27.11,-47.83,3,T1,25245.0,7.5,37.0,680.0,1
2025-12-18,12:47:50,1247,M4,SHORT,25335.0,25372.25,25296.25,25242.0,3,0,-2,-416.0,3000.0,0,0,0.974,0,1,0,31.0,76.07,11,STOP,25372.25,38.5,33.0,-745.0,0
2025-12-18,13:30:10,1330,M4,SHORT,25369.75,25401.25,25337.0,25291.0,4,-2,-4,-29.0,3000.0,0,0,0.951,0,1,0,26.21,104.24,3,STOP,25401.25,32.75,2.25,-630.0,0
2025-12-18,14:42:54,1442,M4,LONG,25260.0,25227.5,25294.0,25341.5,4,2,2,174.0,3000.0,0,0,0.873,0,1,0,27.13,-11.39,5,STOP,25227.5,51.75,21.5,-650.0,0
2025-12-18,15:50:23,1550,M4,SHORT,25315.5,25348.0,25281.75,25234.25,3,0,-2,-52.0,3000.0,0,0,0.805,0,1,0,27.07,43.79,3,T1,25281.75,13.5,38.5,675.0,1
2025-12-19,11:44:58,1144,M4,SHORT,25531.75,25561.25,25501.0,25456.75,4,-1,-5,-477.0,3000.0,0,0,0.834,0,1,0,24.55,64.92,2,T1,25501.0,7.75,34.75,615.0,1
2025-12-22,11:16:49,1116,M2,LONG,25712.25,25687.75,25737.75,25787.25,6,3,0,170.0,3000.0,0,0,0.935,0,1,0,20.32,3.72,16,STOP,25687.75,25.25,9.0,-490.0,0
2025-12-22,11:20:23,1120,M2,LONG,25717.5,25693.75,25742.5,25792.5,7,3,0,242.0,3000.0,0,0,0.932,0,1,0,19.78,8.88,3,STOP,25693.75,25.0,3.75,-475.0,0
2025-12-22,11:24:58,1124,M2,LONG,25712.5,25689.25,25737.5,25787.5,6,2,-2,-150.0,3000.0,0,0,0.929,0,1,0,19.28,3.8,13,STOP,25689.25,23.25,6.5,-465.0,0
2025-12-22,12:00:58,1200,M2,LONG,25711.5,25691.0,25736.5,25786.5,7,3,-2,178.0,3000.0,0,0,0.906,0,1,0,17.18,3.39,6,STOP,25691.0,22.25,5.75,-410.0,0
2025-12-22,12:29:19,1229,M1,SHORT,25699.75,25719.75,25674.75,25624.75,5,-2,0,-330.0,3000.0,0,0,0.893,0,1,0,16.05,-8.14,5,STOP,25719.75,23.25,12.75,-400.0,0
2025-12-22,12:29:19,1229,M2,SHORT,25699.75,25719.75,25674.75,25624.75,5,-2,0,-330.0,3000.0,0,0,0.893,0,1,0,16.05,-8.14,5,STOP,25719.75,23.25,12.75,-400.0,0
2025-12-22,13:00:20,1300,M4,SHORT,25717.25,25737.25,25692.25,25642.25,3,-1,-4,-236.0,3000.0,0,0,0.873,0,1,1,15.15,9.5,3,T1,25692.25,5.0,29.5,500.0,1
2025-12-23,12:19:44,1219,M4,SHORT,25769.0,25789.0,25744.0,25694.0,4,0,-5,-42.0,3000.0,0,0,0.903,0,1,0,15.39,67.75,14,STOP,25789.0,21.25,18.25,-400.0,0
2025-12-26,14:39:42,1439,M1,SHORT,25878.75,25898.75,25853.75,25803.75,4,0,0,-92.0,3000.0,0,0,0.938,0,1,0,15.5,-2.18,15,T1,25853.75,17.25,25.25,500.0,1
2025-12-26,15:11:12,1511,M1,SHORT,25876.5,25896.5,25851.5,25801.5,4,0,-2,-2.0,3000.0,0,0,0.925,0,1,0,15.15,-4.69,12,T1,25851.5,3.25,33.5,500.0,1
2025-12-29,11:33:29,1133,M2,LONG,25715.25,25685.25,25746.5,25790.25,6,3,0,374.0,3000.0,0,0,0.929,0,1,0,24.91,-16.94,2,STOP,25685.25,35.25,3.0,-600.0,0
2025-12-29,13:35:52,1335,M2,LONG,25721.25,25696.0,25747.5,25796.25,6,3,-2,450.0,3000.0,0,0,0.867,0,1,0,21.08,-1.03,2,STOP,25696.0,25.5,7.75,-505.0,0
2025-12-29,14:33:44,1433,M2,LONG,25721.25,25698.0,25746.25,25796.25,6,3,-2,86.0,3000.0,0,0,0.844,0,1,0,19.45,0.52,3,T1,25746.25,2.5,35.5,500.0,1
2025-12-29,15:02:00,1502,M4,SHORT,25755.25,25776.5,25730.25,25680.25,3,-1,-4,-368.0,3000.0,0,0,0.825,0,1,0,17.67,32.66,9,T1,25730.25,11.0,26.0,500.0,1
2025-12-30,13:11:57,1311,M1,LONG,25729.5,25708.25,25754.5,25804.5,6,3,0,146.0,3000.0,0,0,0.916,0,1,1,17.61,4.42,12,STOP,25708.25,24.25,14.75,-425.0,0
2025-12-30,13:47:50,1347,M1,LONG,25734.25,25713.5,25759.25,25809.25,7,3,0,154.0,3000.0,0,0,0.903,0,1,1,17.36,8.78,8,STOP,25713.5,29.0,8.75,-415.0,0
2025-12-30,14:51:49,1451,M1,SHORT,25716.5,25736.5,25691.5,25641.5,4,-1,0,-364.0,3000.0,0,0,0.88,0,1,0,16.05,-9.36,3,T1,25691.5,0.5,34.5,500.0,1
2025-12-30,15:07:16,1507,M2,SHORT,25704.0,25724.0,25679.0,25629.0,7,-2,0,-328.0,3000.0,0,0,0.873,0,1,0,15.84,-21.43,9,T1,25679.0,13.75,33.0,500.0,1
