Date,Time,Event,Side,Mode,Entry,SL,TP1,TP2,Qty,Score,CtrlScore,DivStr,Delta,BarSpeed,ExitPx,ExitReason,HoldBars,MAE,MFE,DayPnL,TotalPnL,FadeEdge,FadeType,RiskMult,TrendReg,VolReg,ChopReg,Version
2025-12-17,10:35:11,SETUP,SHORT,M6,25253.0,25281.23,25235.5,25198.75,1,5,-1,0,-382.0,3000.0,0,,0,0,0,0.0,0.0,0,0,0.9,0,1,0,v12.25-py
2025-12-17,10:35:11,EXIT,SHORT,M6,25253.0,25281.23,25235.5,25198.75,1,5,-1,0,-382.0,3000.0,25093.25,TRAIL,16,8.75,184.5,3190.0,3190.0,0,0,0.9,0,1,0,v12.25-py
2025-12-18,10:22:02,SETUP,LONG,M1,25232.75,25194.75,25272.5,25328.0,1,7,3,0,284.0,3000.0,0,,0,0,0,0.0,3190.0,0,0,0.9,0,1,0,v12.25-py
2025-12-18,10:22:02,EXIT,LONG,M1,25232.75,25194.75,25272.5,25328.0,1,7,3,0,284.0,3000.0,25355.5,TRAIL,23,10.25,174.5,2450.0,5640.0,0,0,0.9,0,1,0,v12.25-py
2025-12-30,14:15:06,SETUP,LONG,M1,25736.25,25715.25,25761.25,25811.25,1,5,2,2,320.0,3000.0,0,,0,0,0,0.0,5640.0,0,0,0.9,0,1,1,v12.25-py
2025-12-30,14:15:06,EXIT,LONG,M1,25736.25,25715.25,25761.25,25811.25,1,5,2,2,320.0,3000.0,25715.25,STOP,4,21.5,6.75,-425.0,5215.0,0,0,0.9,0,1,1,v12.25-py
2025-12-31,14:22:52,SETUP,SHORT,M1,25593.5,25617.75,25568.25,25518.5,1,5,-1,0,-134.0,3000.0,0,,0,0,0,0.0,5215.0,0,0,0.9,0,1,0,v12.25-py
2025-12-31,14:22:52,EXIT,SHORT,M1,25593.5,25617.75,25568.25,25518.5,1,5,-1,0,-134.0,3000.0,25504.75,TRAIL,18,8.75,123.25,1770.0,6985.0,0,0,0.9,0,1,0,v12.25-py
2026-01-30,10:35:42,SETUP,LONG,M1,25876.0,25836.0,25926.0,26000.25,1,7,3,0,508.0,3000.0,0,,0,0,0,0.0,6985.0,0,0,0.9,0,1,0,v12.25-py
2026-01-30,10:35:42,EXIT,LONG,M1,25876.0,25836.0,25926.0,26000.25,1,7,3,0,508.0,3000.0,25887.0,TRAIL,9,43.25,58.0,215.0,7200.0,0,0,0.9,0,1,0,v12.25-py
2026-01-30,11:13:02,SETUP,LONG,M1,25845.25,25805.25,25892.75,25959.25,1,6,3,2,24.0,3000.0,0,,0,0,0,215.0,7200.0,0,0,0.9,0,1,0,v12.25-py
2026-01-30,11:13:02,EXIT,LONG,M1,25845.25,25805.25,25892.75,25959.25,1,6,3,2,24.0,3000.0,25805.25,STOP,4,92.0,0.5,-590.0,6395.0,0,0,0.9,0,1,0,v12.25-py
2026-02-10,11:14:17,SETUP,LONG,M1,25377.75,25337.75,25421.75,25483.25,1,6,3,0,202.0,3000.0,0,,0,0,0,0.0,6395.0,0,0,0.9,0,1,0,v12.25-py
2026-02-10,11:14:17,EXIT,LONG,M1,25377.75,25337.75,25421.75,25483.25,1,6,3,0,202.0,3000.0,25337.75,STOP,4,46.5,17.0,-805.0,5590.0,0,0,0.9,0,1,0,v12.25-py
2026-03-02,15:53:57,SETUP,SHORT,M4,25020.25,25060.0,24978.75,24920.75,1,5,0,-3,-320.0,3000.0,0,,0,0,0,0.0,5590.0,0,0,0.9,0,1,0,v12.25-py
2026-03-02,15:53:57,EXIT,SHORT,M4,25020.25,25060.0,24978.75,24920.75,1,5,0,-3,-320.0,3000.0,25041.75,FLATTEN,1,0.0,0.0,-435.0,5155.0,0,0,0.9,0,1,0,v12.25-py
2026-03-04,15:13:30,SETUP,SHORT,M6,25149.0,25167.54,25133.75,25105.75,1,5,-1,0,-438.0,3000.0,0,,0,0,0,0.0,5155.0,0,0,0.9,0,1,0,v12.25-py
2026-03-04,15:13:30,EXIT,SHORT,M6,25149.0,25167.54,25133.75,25105.75,1,5,-1,0,-438.0,3000.0,25142.0,TRAIL,4,6.25,25.0,135.0,5290.0,0,0,0.9,0,1,0,v12.25-py
2026-03-13,11:36:38,SETUP,SHORT,M2,24449.0,24489.0,24401.75,24335.5,1,8,-3,0,-560.0,3000.0,0,,0,0,0,0.0,5290.0,0,0,0.9,0,1,0,v12.25-py
2026-03-13,11:36:38,EXIT,SHORT,M2,24449.0,24489.0,24401.75,24335.5,1,8,-3,0,-560.0,3000.0,24437.75,TRAIL,5,33.0,53.5,220.0,5510.0,0,0,0.9,0,1,0,v12.25-py
